estacion,mes,provincia,precipi_mm,frec_dias_precipi_sup_1mm,humedad_relac,nubosidad_octas,temperat_c,temperat_max_c,temperat_min_c,veloc_kmh_viento_2011_2020,lat_gr,lat_min,lon_gr,lon_min,altura_m
AEROPARQUE AERO,Abr,CAPITAL FEDERAL,108.3,6.6,73.6,3.5,18.5,22.0,15.3,13.9,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Ago,CAPITAL FEDERAL,61.5,5.0,73.6,3.9,12.9,16.5,9.7,14.0,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Dic,CAPITAL FEDERAL,112.8,6.6,65.1,3.2,23.2,27.4,19.2,15.9,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Ene,CAPITAL FEDERAL,117.5,6.7,67.0,3.1,24.5,28.4,20.8,16.8,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Feb,CAPITAL FEDERAL,112.3,6.0,69.8,3.2,23.7,27.3,20.2,15.8,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Jul,CAPITAL FEDERAL,64.3,5.0,75.5,4.1,11.3,14.4,8.4,13.2,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Jun,CAPITAL FEDERAL,54.6,4.5,76.3,4.2,12.3,15.5,9.4,12.2,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Mar,CAPITAL FEDERAL,111.8,5.9,71.3,3.1,22.0,25.5,18.8,14.9,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,May,CAPITAL FEDERAL,83.3,5.0,76.4,4.0,15.2,18.4,12.3,12.9,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Nov,CAPITAL FEDERAL,103.2,6.8,67.0,3.5,20.6,24.5,16.8,17.1,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Oct,CAPITAL FEDERAL,104.7,7.5,70.6,3.9,17.7,21.1,14.3,17.2,-34.0,33.0,-58.0,25.0,6
AEROPARQUE AERO,Sep,CAPITAL FEDERAL,72.6,5.5,71.1,3.8,14.7,18.3,11.5,16.6,-34.0,33.0,-58.0,25.0,6
BARILOCHE AERO,Abr,RIO NEGRO,57.1,6.2,68.2,4.0,8.1,15.0,2.4,16.9,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Ago,RIO NEGRO,117.3,11.4,74.9,4.9,3.1,8.4,-1.0,18.5,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Dic,RIO NEGRO,25.0,3.5,53.6,3.3,13.5,20.7,5.9,24.7,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Ene,RIO NEGRO,23.6,2.5,51.9,2.8,15.4,23.2,7.0,22.2,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Feb,RIO NEGRO,17.5,2.5,53.3,2.7,15.0,23.1,6.6,18.9,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Jul,RIO NEGRO,126.4,11.6,78.0,5.0,2.1,6.7,-1.6,17.0,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Jun,RIO NEGRO,168.3,13.3,79.1,5.4,3.0,7.2,-0.5,19.1,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Mar,RIO NEGRO,29.4,4.1,60.2,3.3,12.1,20.1,4.9,17.9,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,May,RIO NEGRO,113.7,10.2,76.0,4.9,5.2,10.6,1.0,16.1,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Nov,RIO NEGRO,30.1,4.0,56.6,3.7,10.9,17.9,3.9,23.7,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Oct,RIO NEGRO,48.7,6.0,61.5,4.0,7.9,14.7,1.7,20.5,-41.0,8.0,-71.0,9.0,835
BARILOCHE AERO,Sep,RIO NEGRO,55.4,6.5,66.9,4.1,5.2,11.6,-0.1,19.1,-41.0,8.0,-71.0,9.0,835
BASE ESPERANZA,Abr,ANTARTIDA,,,,5.7,-5.5,-1.7,-8.9,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Ago,ANTARTIDA,,,,5.3,-9.5,-5.1,-13.7,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Dic,ANTARTIDA,,,79.4,6.0,0.8,3.8,-1.8,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Ene,ANTARTIDA,,,80.1,6.3,1.5,4.3,-1.2,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Feb,ANTARTIDA,,,79.5,6.0,0.9,3.9,-2.0,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Jul,ANTARTIDA,,,,5.1,-10.8,-6.4,-15.0,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Jun,ANTARTIDA,,,,5.3,-10.4,-6.2,-14.1,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Mar,ANTARTIDA,,,,5.9,-2.0,1.4,-5.2,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,May,ANTARTIDA,,,,5.4,-7.4,-3.2,-11.2,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Nov,ANTARTIDA,,,,6.0,-0.9,2.3,-3.9,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Oct,ANTARTIDA,,,,5.8,-4.1,-0.2,-7.8,,-63.0,23.0,-56.0,59.0,24
BASE ESPERANZA,Sep,ANTARTIDA,,,,5.5,-6.9,-2.6,-10.9,,-63.0,23.0,-56.0,59.0,24
